id,ident,type,name,municipality,iso_country,iso_region,iata_code,icao_code,latitude_deg,longitude_deg
2329,EFLP,large_airport,Lappeenranta Airport,Lappeenranta,FI,FI-02,LPP,EFLP,61.044601,28.144743
2330,EFMA,large_airport,Mariehamn Airport,Mariehamn,FI,FI-01,MHQ,EFMA,60.1222,19.898199
2334,EFOU,large_airport,Oulu Airport,Oulu / Oulunsalo,FI,FI-14,OUL,EFOU,64.930099,25.354601
2336,EFPO,medium_airport,Pori Airport,Pori,FI,FI-17,POR,EFPO,61.4617,21.799999
2341,EFRO,large_airport,Rovaniemi Airport,Rovaniemi,FI,FI-10,RVN,EFRO,66.563327,25.829751
2343,EFSA,medium_airport,Savonlinna Airport,Savonlinna,FI,FI-04,SVL,EFSA,61.9431,28.945101
2347,EFTP,large_airport,Tampere-Pirkkala Airport,Tampere / Pirkkala,FI,FI-11,TMP,EFTP,61.414101,23.604401
2349,EFTU,large_airport,Turku Airport,Turku,FI,FI-19,TKU,EFTU,60.514099,22.2628
2351,EFVA,large_airport,Vaasa Airport,Vaasa,FI,FI-12,VAA,EFVA,63.05023,21.762543
2559,EKVG,large_airport,Vágar Airport,Vágar,FO,FO-U-A,FAE,EKVG,62.063256,-7.275782
4126,LFKJ,medium_airport,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,FR-COR,AJA,LFKJ,41.923599,8.80292
4141,LFLP,medium_airport,Annecy Meythet airport,Annecy,FR,FR-ARA,NCY,LFLP,45.928947,6.0987
4146,LFLW,medium_airport,Aurillac airport,Aurillac,FR,FR-ARA,AUR,LFLW,44.891399,2.42194
4163,LFMV,medium_airport,Avignon Caumont airport,Avignon,FR,FR-PAC,AVN,LFMV,43.907299,4.90183
4123,LFKB,large_airport,Bastia-Poretta International airport,Bastia,FR,FR-COR,BIA,LFKB,42.5527,9.48373
4169,LFOB,large_airport,Beauvais-Tillé airport,Beauvais,FR,FR-HDF,BVA,LFOB,49.454399,2.11278
4061,LFBE,medium_airport,Bergerac Dordogne-Périgord airport,Bergerac,FR,FR-NAQ,EGC,LFBE,44.825298,0.518611
4077,LFBZ,medium_airport,Biarritz Pays Basque airport,Biarritz,FR,FR-NAQ,BIQ,LFBZ,43.468372,-1.523223
4060,LFBD,large_airport,Bordeaux–Mérignac Airport,Bordeaux,FR,FR-NAQ,BOD,LFBD,44.82865,-0.715356
4206,LFRB,large_airport,Brest Bretagne airport,Brest,FR,FR-BRE,BES,LFRB,48.447899,-4.41854
29001,LFSL,medium_airport,Brive Souillac airport,Brive,FR,FR-NAQ,BVE,LFSL,45.039722,1.485556
4226,LFSB,large_airport,EuroAirport Basel–Mulhouse–Freiburg,Bâle / Mulhouse,FR,FR-GES,BSL,LFSB,47.60068,7.521117
4162,LFMU,medium_airport,Béziers Vias airport,Béziers,FR,FR-OCC,BZR,LFMU,43.323502,3.3539
4215,LFRK,medium_airport,Caen Carpiquet airport,Caen,FR,FR-NOR,CFR,LFRK,49.17678,-0.454883
4124,LFKC,medium_airport,Calvi Sainte Catherine Airport,Calvi,FR,FR-COR,CLY,LFKC,42.530422,8.792984
4154,LFMK,medium_airport,Carcassonne Salvaza Airport,Carcassonne,FR,FR-OCC,CCF,LFMK,43.216,2.30632
4082,LFCK,medium_airport,Castres Mazamet Airport,Castres,FR,FR-OCC,DCM,LFCK,43.556301,2.28918
4176,LFOK,medium_airport,Chalons Vatry airport,Chalons en Champagne,FR,FR-GES,XCR,LFOK,48.77333,4.20611
4131,LFLB,medium_airport,Chambéry Aix les Bains airport,Chambéry,FR,FR-ARA,CMF,LFLB,45.6381,5.88023
4132,LFLC,large_airport,Clermont-Ferrand Auvergne airport,Clermont-Ferrand,FR,FR-ARA,CFE,LFLC,45.786701,3.16917
4137,LFLL,large_airport,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",FR,FR-ARA,LYS,LFLL,45.725996,5.090139
4211,LFRG,medium_airport,Deauville Normandie airport,Deauville,FR,FR-NOR,DOL,LFRG,49.365237,0.154481
4228,LFSD,medium_airport,Dijon Longvic airport,Dijon,FR,FR-BFC,DIJ,LFSD,47.268902,5.09
4208,LFRD,medium_airport,Dinard Pleurtuit Saint-Malo airport,Dinard,FR,FR-BRE,DNR,LFRD,48.5877,-2.07996
4107,LFGJ,medium_airport,Dole Tavaux Airport,Dole,FR,FR-BFC,DLE,LFGJ,47.038955,5.427589
4125,LFKF,large_airport,Figari Sud-Corse Airport,Figari,FR,FR-COR,FSC,LFKF,41.50185,9.097092
4120,LFJL,medium_airport,Metz-Nancy-Lorraine Airport,Goin,FR,FR-GES,ETZ,LFJL,48.982101,6.25132
4142,LFLS,medium_airport,Grenoble Alpes Isère Airport,Grenoble,FR,FR-ARA,GNB,LFLS,45.3629,5.32937
4241,LFTH,medium_airport,Toulon-Hyères Airport,"Hyères, Var",FR,FR-PAC,TLN,LFTH,43.097301,6.14603
4064,LFBH,medium_airport,La Rochelle Île de Ré Airport,La Rochelle,FR,FR-NAQ,LRH,LFBH,46.179199,-1.19528
4217,LFRM,medium_airport,Le Mans-Arnage Airport,"Le Mans, Sarthe",FR,FR-PDL,LME,LFRM,47.948604,0.201702
4202,LFQQ,large_airport,Lille Airport,Lesquin,FR,FR-HDF,LIL,LFQQ,50.566564,3.102429
4067,LFBL,medium_airport,Limoges Airport,Limoges/Bellegarde,FR,FR-NAQ,LIG,LFBL,45.862801,1.17944
