route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,unmatched_reason
CRL-BIQ,CRL,BIQ,Charleroi,Biarritz,BE,FR,899.8,1,no_country_pair_in_rail_dataset
CRL-BOD,CRL,BOD,Charleroi,Bordeaux,BE,FR,736.2,1,no_country_pair_in_rail_dataset
CRL-BTS,CRL,BTS,Charleroi,Bratislava,BE,SK,957.5,1,no_country_pair_in_rail_dataset
CRL-BUD,CRL,BUD,Charleroi,Budapest,BE,HU,1130.2,2,no_country_pair_in_rail_dataset
CRL-CCF,CRL,CCF,Charleroi,Carcassonne,BE,FR,822.1,1,no_country_pair_in_rail_dataset
CRL-CLJ,CRL,CLJ,Charleroi,Cluj-Napoca,BE,RO,1466.3,1,no_country_pair_in_rail_dataset
CRL-DUB,CRL,DUB,Charleroi,Dublin,BE,IE,804.5,1,no_country_pair_in_rail_dataset
CRL-EDI,CRL,EDI,Charleroi,Edinburgh,BE,GB,801.8,1,no_country_pair_in_rail_dataset
CRL-FSC,CRL,FSC,Charleroi,Figari,BE,FR,1058.3,1,no_country_pair_in_rail_dataset
CRL-GRO,CRL,GRO,Charleroi,Girona,BE,ES,960.4,1,no_country_pair_in_rail_dataset
CRL-IBZ,CRL,IBZ,Charleroi,Ibiza (Eivissa),BE,ES,1311.2,1,no_country_pair_in_rail_dataset
CRL-LRH,CRL,LRH,Charleroi,La Rochelle,BE,FR,633.4,1,no_country_pair_in_rail_dataset
CRL-MAD,CRL,MAD,Charleroi,Madrid,BE,ES,1271.4,1,no_country_pair_in_rail_dataset
CRL-MAN,CRL,MAN,Charleroi,"Manchester, Greater Manchester",BE,GB,562.5,1,no_country_pair_in_rail_dataset
CRL-MRS,CRL,MRS,Charleroi,"Marignane, Bouches-du-Rhône",BE,FR,783.1,1,no_country_pair_in_rail_dataset
CRL-MPL,CRL,MPL,Charleroi,Montpellier/Méditerranée,BE,FR,766.6,1,no_country_pair_in_rail_dataset
CRL-WMI,CRL,WMI,Charleroi,Nowy Dwór Mazowiecki,BE,PL,1140.9,1,no_country_pair_in_rail_dataset
CRL-NYO,CRL,NYO,Charleroi,Nyköping,BE,SE,1220.8,1,no_country_pair_in_rail_dataset
CRL-FNI,CRL,FNI,Charleroi,Nîmes/Garons,BE,FR,745.5,1,no_country_pair_in_rail_dataset
CRL-PMI,CRL,PMI,Charleroi,Palma de Mallorca,BE,ES,1220.6,1,no_country_pair_in_rail_dataset
CRL-PGF,CRL,PGF,Charleroi,Perpignan/Rivesaltes,BE,FR,867.1,1,no_country_pair_in_rail_dataset
CRL-TGD,CRL,TGD,Charleroi,Podgorica,BE,ME,1443.9,1,no_country_pair_in_rail_dataset
CRL-OPO,CRL,OPO,Charleroi,Porto,BE,PT,1440.0,1,no_country_pair_in_rail_dataset
