route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,route_train_candidate,origin_train,destination_train,distance_train,duration_train,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential,match_score,match_method
KRN-ARN,KRN,ARN,Kiruna,Stockholm,SE,SE,916.4,2,back_on_track_SJ 91,Luleå C,Stockholm C,1052.0,779.0,night,7,157.8,faible_potentiel,97.916,country_city_distance
LLA-ARN,LLA,ARN,Luleå,Stockholm,SE,SE,689.4,2,back_on_track_SJ 71,Duved,Stockholm C,652.0,575.0,night,7,97.8,potentiel_moyen,104.644,country_city_distance
LYC-ARN,LYC,ARN,Lycksele,Stockholm,SE,SE,546.4,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,103.907,country_city_distance
MMX-ARN,MMX,ARN,Malmö,Stockholm,SE,SE,531.5,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,114.119,country_city_distance
MMX-BMA,MMX,BMA,Malmö,Stockholm,SE,SE,504.7,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,112.586,country_city_distance
MMX-VBY,MMX,VBY,Malmö,Visby,SE,SE,385.2,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,90.026,country_city_distance
NYO-BRE,NYO,BRE,Nyköping,Bremen,SE,DE,813.6,1,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,71.566,country_distance
KRF-GEV,KRF,GEV,Nyland,Gällivare,SE,SE,475.8,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,86.253,country_distance
KRF-ARN,KRF,ARN,Nyland,Stockholm,SE,SE,378.2,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,89.721,country_city_distance
RNB-BMA,RNB,BMA,Ronneby,Stockholm,SE,SE,378.1,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,89.545,country_city_distance
ARN-DUS,ARN,DUS,Stockholm,Düsseldorf,SE,DE,1162.5,3,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,95.554,country_city_distance
ARN-FRA,ARN,FRA,Stockholm,Frankfurt am Main,SE,DE,1224.0,3,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,95.942,country_city_distance
ARN-GOT,ARN,GOT,Stockholm,Göteborg,SE,SE,394.2,4,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,91.06,country_city_distance
BMA-GOT,BMA,GOT,Stockholm,Göteborg,SE,SE,378.7,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,89.467,country_city_distance
BMA-HAD,BMA,HAD,Stockholm,Halmstad,SE,SE,422.5,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,97.669,country_city_distance
ARN-HAM,ARN,HAM,Stockholm,Hamburg,SE,DE,825.6,2,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,81.955,country_city_distance
BMA-KLR,BMA,KLR,Stockholm,Kalmar,SE,SE,312.3,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,85.772,country_city_distance
ARN-KRN,ARN,KRN,Stockholm,Kiruna,SE,SE,916.4,2,back_on_track_SJ 92,Stockholm C,Luleå C,1052.0,838.0,night,7,157.8,faible_potentiel,97.916,country_city_distance
ARN-CGN,ARN,CGN,Stockholm,Köln (Cologne),SE,DE,1188.8,1,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,96.024,country_city_distance
ARN-LLA,ARN,LLA,Stockholm,Luleå,SE,SE,689.4,2,back_on_track_SJ 70,Stockholm C,Duved,652.0,577.0,night,7,97.8,potentiel_moyen,104.644,country_city_distance
ARN-LYC,ARN,LYC,Stockholm,Lycksele,SE,SE,546.4,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,103.907,country_city_distance
ARN-MMX,ARN,MMX,Stockholm,Malmö,SE,SE,531.5,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,114.119,country_city_distance
BMA-MMX,BMA,MMX,Stockholm,Malmö,SE,SE,504.7,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,112.586,country_city_distance
ARN-MUC,ARN,MUC,Stockholm,Munich,SE,DE,1317.2,3,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,98.438,country_city_distance
ARN-KRF,ARN,KRF,Stockholm,Nyland,SE,SE,378.2,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,89.721,country_city_distance
BMA-RNB,BMA,RNB,Stockholm,Ronneby,SE,SE,378.1,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,89.545,country_city_distance
