route_pair,origin_iata,destination_iata,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,air_distance_km,airline_count,airlines,equipment
VIE-VNO,VIE,VNO,Vienna,Vilnius,AT,LT,48.110298,16.5697,54.634102,25.285801,943.2,1,OS,100 F70
VIE-WAW,VIE,WAW,Vienna,Warsaw,AT,PL,48.110298,16.5697,52.165699,20.9671,548.9,2,"LO,OS","E95 E75,F70 E95 100 DH4 E75"
VIE-ZTH,VIE,ZTH,Vienna,Zakynthos,AT,GR,48.110298,16.5697,37.7509,20.8843,1203.8,2,"AB,HG",320 E90
VIE-BRU,VIE,BRU,Vienna,Zaventem,AT,BE,48.110298,16.5697,50.901402,4.48444,924.9,2,"OS,SN","319 F70 320,320 319 F70"
VIE-LJU,VIE,LJU,Vienna,Zgornji Brnik,AT,SI,48.110298,16.5697,46.223701,14.4576,263.6,2,"JP,OS",CR9 CR2
VIE-ZRH,VIE,ZRH,Vienna,Zurich,AT,CH,48.110298,16.5697,47.458056,8.548056,603.4,6,"AB,HG,KE,LX,OS,RJ","320,320 32A 319 321 AR1,321 E90 320,77W"
TZL-MMX,TZL,MMX,Dubrave Gornje,Malmö,BA,SE,44.459858,18.723627,55.535564,13.376327,1288.6,1,W6,320
BNX-BEG,BNX,BEG,Mahovljani,Belgrade,BA,RS,44.941399,17.297501,44.818401,20.309099,237.7,1,JU,AT7
BNX-SJJ,BNX,SJJ,Mahovljani,Sarajevo,BA,BA,44.941399,17.297501,43.8246,18.331499,148.9,1,JA,AT7
BNX-ZRH,BNX,ZRH,Mahovljani,Zurich,BA,CH,44.941399,17.297501,47.458056,8.548056,728.7,1,JA,AT7
OMO-BGY,OMO,BGY,Mostar,Orio al Serio (BG),BA,IT,43.282489,17.846101,45.669362,9.708851,697.6,1,IG,320
SJJ-BEG,SJJ,BEG,Sarajevo,Belgrade,BA,RS,43.8246,18.331499,44.818401,20.309099,192.2,2,"JA,JU",AT7
SJJ-CPH,SJJ,CPH,Sarajevo,Copenhagen,BA,DK,43.8246,18.331499,55.617900848389,12.656000137329,1372.2,1,JA,AT7
SJJ-IST,SJJ,IST,Sarajevo,Istanbul,BA,TR,43.8246,18.331499,41.274874,28.732136,897.2,2,"JA,TK","320 738 321,AT7"
SJJ-CGN,SJJ,CGN,Sarajevo,Köln (Cologne),BA,DE,43.8246,18.331499,50.865898,7.14274,1148.2,1,4U,319
SJJ-BNX,SJJ,BNX,Sarajevo,Mahovljani,BA,BA,43.8246,18.331499,44.941399,17.297501,148.9,1,JA,AT7
SJJ-MUC,SJJ,MUC,Sarajevo,Munich,BA,DE,43.8246,18.331499,48.353802,11.7861,712.5,1,LH,319 E95
SJJ-ARN,SJJ,ARN,Sarajevo,Stockholm,BA,SE,43.8246,18.331499,59.64849,17.928829,1759.7,1,DY,73H
SJJ-STR,SJJ,STR,Sarajevo,Stuttgart,BA,DE,43.8246,18.331499,48.689899,9.22196,884.0,1,4U,319
SJJ-ZAG,SJJ,ZAG,Sarajevo,Velika Gorica,BA,HR,43.8246,18.331499,45.742901,16.0688,278.2,1,OU,DH4
SJJ-VIE,SJJ,VIE,Sarajevo,Vienna,BA,AT,43.8246,18.331499,48.110298,16.5697,495.6,1,OS,100 320 319
SJJ-LJU,SJJ,LJU,Sarajevo,Zgornji Brnik,BA,SI,43.8246,18.331499,46.223701,14.4576,404.7,1,JP,CR2
