service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:49524313,0,0,0,0,0,0,1,20260308,20260322
IDFM:TN:49524328,1,1,1,1,0,1,1,20260225,20260324
IDFM:TN:49524336,1,1,1,1,1,1,0,20260225,20260324
IDFM:TN:49524340,1,1,1,1,0,0,0,20260316,20260319
IDFM:TN:49524341,0,0,0,0,1,0,0,20260227,20260320
IDFM:TN:49524420,0,1,1,1,1,0,0,20260303,20260306
IDFM:TN:49524500,1,0,0,0,0,0,0,20260302,20260316
IDFM:TN:49524505,0,0,0,0,1,1,1,20260225,20260324
IDFM:TN:49524506,1,1,0,0,0,0,0,20260316,20260324
IDFM:TN:49524507,0,0,1,1,1,1,1,20260225,20260321
IDFM:TN:49524508,1,1,1,1,1,1,1,20260225,20260323
IDFM:TN:49524522,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49524525,1,1,1,1,1,0,0,20260225,20260313
IDFM:TN:49524526,1,1,1,1,1,0,1,20260225,20260315
IDFM:TN:49524533,0,0,0,0,0,1,1,20260307,20260322
IDFM:TN:49524534,1,1,0,1,1,1,1,20260225,20260324
IDFM:TN:49524540,0,0,0,0,1,0,0,20260320,20260320
IDFM:TN:49524548,1,1,0,0,0,0,0,20260316,20260324
IDFM:TN:49524553,1,1,1,1,0,0,0,20260302,20260320
IDFM:TN:49524591,1,1,1,1,1,0,0,20260226,20260324
IDFM:TN:49524662,1,1,1,1,1,0,1,20260302,20260321
IDFM:TN:49524663,0,0,0,0,0,1,1,20260228,20260315
IDFM:TN:49524664,1,1,1,1,1,1,1,20260228,20260315
IDFM:TN:49524667,1,1,1,1,1,1,1,20260302,20260315
IDFM:TN:49524668,0,0,1,1,1,1,1,20260225,20260315
IDFM:TN:49524672,1,1,1,1,1,0,0,20260302,20260322
IDFM:TN:49524673,0,0,1,1,0,1,1,20260225,20260301
IDFM:TN:49524674,0,0,1,1,1,1,1,20260225,20260301
IDFM:TN:49524677,0,0,0,0,0,1,1,20260225,20260324
IDFM:TN:49524679,1,1,1,0,0,0,0,20260228,20260311
IDFM:TN:49524681,1,1,1,1,1,1,1,20260316,20260322
IDFM:TN:49524683,0,0,0,1,1,1,0,20260305,20260314
IDFM:TN:49524684,1,1,0,0,0,0,0,20260316,20260324
IDFM:TN:49524695,1,1,1,1,1,1,1,20260302,20260324
IDFM:TN:49524710,1,1,1,1,1,0,1,20260316,20260322
IDFM:TN:49524717,0,0,0,1,1,0,0,20260319,20260320
IDFM:TN:49524735,0,0,0,0,0,1,1,20260228,20260315
IDFM:TN:49524737,1,1,0,0,0,0,0,20260316,20260324
IDFM:TN:49524750,0,0,0,1,1,0,0,20260312,20260313
IDFM:TN:49524751,0,0,0,0,0,0,1,20260225,20260322
IDFM:TN:49524789,0,0,0,0,0,1,1,20260225,20260324
IDFM:TN:49524793,1,1,1,1,1,0,0,20260302,20260320
IDFM:TN:49524798,1,1,1,1,1,0,1,20260301,20260322
IDFM:TN:49524801,1,1,0,1,0,0,0,20260302,20260319
IDFM:TN:49524803,1,1,1,1,1,1,1,20260225,20260322
IDFM:TN:49524808,0,0,0,0,0,1,1,20260225,20260322
IDFM:TN:49524811,1,1,1,1,1,1,0,20260302,20260324
IDFM:TN:49524817,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49524818,0,0,0,0,0,1,1,20260306,20260324
IDFM:TN:49524849,0,0,1,0,1,1,1,20260225,20260301
IDFM:TN:49524864,0,0,1,1,1,0,0,20260225,20260320
IDFM:TN:49524886,1,1,1,1,0,1,1,20260225,20260323
IDFM:TN:49524889,1,1,1,1,1,1,0,20260228,20260324
IDFM:TN:49524896,1,1,1,1,1,1,1,20260226,20260324
IDFM:TN:49524900,1,1,1,1,1,0,1,20260225,20260324
IDFM:TN:49524903,1,1,1,1,1,0,1,20260225,20260324
IDFM:TN:49524906,1,0,1,1,1,1,1,20260225,20260323
IDFM:TN:49524909,0,0,0,0,1,0,0,20260227,20260324
IDFM:TN:49524918,0,0,0,0,1,0,0,20260313,20260320
IDFM:TN:49525012,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49525034,1,0,0,0,0,0,0,20260301,20260323
IDFM:TN:49525081,0,0,0,0,0,1,0,20260307,20260321
IDFM:TN:49525101,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49525117,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49525173,1,0,0,0,0,0,0,20260302,20260323
IDFM:TN:49525183,0,0,0,0,0,0,1,20260228,20260322
IDFM:TN:49525191,0,0,0,0,0,1,1,20260225,20260322
IDFM:TN:49525222,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49525279,1,1,1,1,0,1,1,20260225,20260324
IDFM:TN:49525283,1,1,1,1,1,1,1,20260225,20260324
