from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:monomodalStopPlace:46444,IDFM:480211,2,227
IDFM:471479,IDFM:470918,2,107
IDFM:17288,IDFM:monomodalStopPlace:473876,2,16
IDFM:monomodalStopPlace:43184,IDFM:monomodalStopPlace:473480,2,94
IDFM:472124,IDFM:471022,2,275
IDFM:470914,IDFM:monomodalStopPlace:473339,2,11
IDFM:monomodalStopPlace:470549,IDFM:484165,2,101
IDFM:monomodalStopPlace:43081,IDFM:3087,2,193
IDFM:22190,IDFM:463124,2,361
IDFM:472573,IDFM:monomodalStopPlace:422065,2,21
IDFM:472502,IDFM:470734,2,68
IDFM:33956,IDFM:470606,2,245
IDFM:472426,IDFM:monomodalStopPlace:411332,2,5
IDFM:471597,IDFM:monomodalStopPlace:47447,2,79
IDFM:22052,IDFM:462973,2,14
IDFM:471063,IDFM:470624,2,51
IDFM:471186,IDFM:471968,2,125
IDFM:470947,IDFM:470879,2,110
IDFM:473921,IDFM:463158,2,275
IDFM:470949,IDFM:monomodalStopPlace:474205,2,44
IDFM:411277,IDFM:472994,2,21
IDFM:471693,IDFM:470679,2,5
IDFM:463072,IDFM:22018,2,120
IDFM:monomodalStopPlace:473876,IDFM:472806,2,116
IDFM:471917,IDFM:471309,2,288
IDFM:471964,IDFM:472777,2,186
IDFM:470907,IDFM:470743,2,252
IDFM:471721,IDFM:463183,2,236
IDFM:422956,IDFM:471427,2,32
IDFM:462953,IDFM:22234,2,10
IDFM:471451,IDFM:470924,2,14
IDFM:471925,IDFM:monomodalStopPlace:43244,2,209
IDFM:monomodalStopPlace:43536,IDFM:463193,2,300
IDFM:monomodalStopPlace:471031,IDFM:463024,2,348
IDFM:472396,IDFM:472094,2,82
IDFM:474023,IDFM:474021,2,11
IDFM:471869,IDFM:471240,2,247
IDFM:monomodalStopPlace:45346,IDFM:21972,2,240
IDFM:471742,IDFM:471135,2,6
IDFM:471962,IDFM:472878,2,34
IDFM:472128,IDFM:471094,2,231
IDFM:471654,IDFM:monomodalStopPlace:473595,2,255
IDFM:monomodalStopPlace:47885,IDFM:491800,2,214
IDFM:472627,IDFM:471566,2,168
IDFM:472546,IDFM:monomodalStopPlace:473237,2,315
IDFM:483774,IDFM:monomodalStopPlace:473509,2,6
IDFM:monomodalStopPlace:43216,IDFM:471026,2,15
IDFM:471361,IDFM:471862,2,15
IDFM:471834,IDFM:monomodalStopPlace:473445,2,68
IDFM:473015,IDFM:471756,2,183
IDFM:471749,IDFM:471015,2,21
IDFM:471091,IDFM:monomodalStopPlace:427872,2,13
IDFM:471346,IDFM:4003,2,137
IDFM:monomodalStopPlace:470519,IDFM:471559,2,118
IDFM:3823,IDFM:471145,2,270
IDFM:472546,IDFM:22032,2,248
IDFM:2824,IDFM:monomodalStopPlace:48097,2,8
IDFM:471085,IDFM:472614,2,54
IDFM:471759,IDFM:471094,2,109
IDFM:463265,IDFM:22369,2,13
IDFM:21921,IDFM:463036,2,14
IDFM:463223,IDFM:21999,2,13
IDFM:471905,IDFM:472766,2,18
IDFM:462998,IDFM:473916,2,378
IDFM:470886,IDFM:471253,2,111
IDFM:21928,IDFM:463038,2,26
IDFM:22190,IDFM:22189,2,325
IDFM:490942,IDFM:monomodalStopPlace:470996,2,35
IDFM:492187,IDFM:471935,2,187
IDFM:monomodalStopPlace:473319,IDFM:monomodalStopPlace:427872,2,67
IDFM:470750,IDFM:471960,2,8
IDFM:monomodalStopPlace:58572,IDFM:470728,2,241
IDFM:471654,IDFM:470867,2,15
IDFM:470626,IDFM:471298,2,19
IDFM:monomodalStopPlace:58572,IDFM:470866,2,332
IDFM:471451,IDFM:471759,2,329
IDFM:471654,IDFM:472122,2,190
IDFM:monomodalStopPlace:43077,IDFM:monomodalStopPlace:462330,2,195
IDFM:monomodalStopPlace:473397,IDFM:4218,2,30
IDFM:463178,IDFM:22016,2,12
IDFM:473990,IDFM:463160,2,346
IDFM:13166,IDFM:472445,2,98
IDFM:6755,IDFM:471267,2,107
IDFM:463032,IDFM:463008,2,167
IDFM:472577,IDFM:472063,2,84
IDFM:471564,IDFM:471148,2,189
IDFM:22030,IDFM:473924,2,176
IDFM:471451,IDFM:471520,2,194
IDFM:21962,IDFM:470674,2,271
IDFM:27277,IDFM:472915,2,87
IDFM:471431,IDFM:monomodalStopPlace:473452,2,192
IDFM:472856,IDFM:472861,2,189
IDFM:472648,IDFM:473128,2,62
IDFM:471950,IDFM:22007,2,375
IDFM:monomodalStopPlace:473855,IDFM:472069,2,169
IDFM:462962,IDFM:21918,2,180
IDFM:monomodalStopPlace:43203,IDFM:480288,2,240
IDFM:472470,IDFM:470683,2,19
IDFM:471312,IDFM:monomodalStopPlace:43190,2,29
IDFM:471006,IDFM:471725,2,11
IDFM:monomodalStopPlace:58572,IDFM:471326,2,352
IDFM:471299,IDFM:471567,2,46
IDFM:470959,IDFM:472947,2,162
IDFM:monomodalStopPlace:473092,IDFM:monomodalStopPlace:47898,2,91
IDFM:471309,IDFM:22149,2,280
IDFM:monomodalStopPlace:473509,IDFM:483774,2,6
IDFM:22376,IDFM:22079,2,73
IDFM:490850,IDFM:490837,2,3
IDFM:471169,IDFM:472408,2,17
IDFM:13100,IDFM:monomodalStopPlace:43212,2,222
IDFM:472559,IDFM:471311,2,2
IDFM:21949,IDFM:21947,2,106
IDFM:22392,IDFM:463155,2,13
IDFM:425619,IDFM:472710,2,127
IDFM:472854,IDFM:470653,2,52
IDFM:471721,IDFM:470740,2,307
IDFM:471908,IDFM:472480,2,70
IDFM:470740,IDFM:470953,2,336
IDFM:471917,IDFM:471796,2,257
IDFM:463197,IDFM:21958,2,420
IDFM:monomodalStopPlace:473142,IDFM:471269,2,138
IDFM:472648,IDFM:monomodalStopPlace:473156,2,67
IDFM:472106,IDFM:471601,2,9
IDFM:473942,IDFM:473940,2,7
IDFM:monomodalStopPlace:47888,IDFM:473946,2,8
IDFM:8645,IDFM:monomodalStopPlace:47599,2,261
IDFM:471352,IDFM:monomodalStopPlace:45735,2,228
IDFM:21983,IDFM:473916,2,221
IDFM:monomodalStopPlace:463857,IDFM:471918,2,345
IDFM:470773,IDFM:monomodalStopPlace:473323,2,90
IDFM:471742,IDFM:472308,2,121
IDFM:472720,IDFM:21532,2,100
IDFM:471309,IDFM:472723,2,187
IDFM:471495,IDFM:472013,2,93
IDFM:monomodalStopPlace:47900,IDFM:471698,2,22
IDFM:471459,IDFM:monomodalStopPlace:45493,2,43
IDFM:monomodalStopPlace:473369,IDFM:470891,2,131
IDFM:41519,IDFM:462996,2,709
IDFM:472568,IDFM:471708,2,68
IDFM:472046,IDFM:4003,2,100
IDFM:33956,IDFM:472980,2,154
IDFM:472396,IDFM:471215,2,76
IDFM:463028,IDFM:473920,2,51
IDFM:monomodalStopPlace:43069,IDFM:472565,2,43
IDFM:471795,IDFM:monomodalStopPlace:427871,2,139
IDFM:486682,IDFM:21958,2,427
IDFM:17404,IDFM:470949,2,87
IDFM:21994,IDFM:463108,2,111
IDFM:10241,IDFM:monomodalStopPlace:43241,2,186
IDFM:21959,IDFM:473990,2,308
IDFM:5071,IDFM:monomodalStopPlace:473556,2,58
